0.011, 3, -0.108338, -0.516549, 10.3459
0.003, 4, 0.19812, 0.0700304, -0.0694318
0.018, 5, 18.0176,-23.7305, 8.45947
0.022, 3, -0.116717, -0.544082, 10.0503
0.02, 4, 0.201711, -0.0496797, 0.0544681
0.03, 3, -0.586579, -0.618303, 9.72405
0.031, 4, 0.200514, -0.0933739, 0.0448913
0.043, 5, 18.0542,-23.877, 8.05664
0.04, 3, -0.839168, -0.837971, 9.35893
0.039, 4, 0.202909, -0.0993594, -0.0035913
0.05, 3, -0.864905, -0.837971, 9.27574
0.049, 4, 0.182558, -0.0766145, -0.0592565
0.043, 5, 18.0542,-23.877, 8.05664
0.067, 3, -0.13228, -0.38008, 9.96167
0.058, 4, 0.127491, -0.0442927, -0.0861913
0.079, 3, -0.789488, -0.0430956, 10.1436
0.078, 4, 0.114323, 0.00778116, -0.150835
0.069, 5, 17.7246,-24.2432, 8.09326
0.087, 3, -1.1965, -0.0831985, 9.81024
0.089, 4, 0.155025, -0.0011971, -0.138864
0.097, 3, -1.33357, -0.332794, 9.7037
0.096, 4, 0.162806, -0.00718261, -0.100556
0.093, 5, 17.6514,-24.4263, 7.58057
0.107, 3, -1.07141, -0.573411, 9.55047
0.106, 4, 0.129287, -0.0011971, -0.0730232
0.115, 3, -1.02292, -0.825401, 9.69113
0.117, 4, 0.053271, 0.0341174, -0.0496797
0.119, 5, 18.0542,-24.2432, 8.1665
0.125, 3, -1.13365, -0.996586, 9.8695
0.126, 4, -0.0305261, 0.0778116, -0.023942
0.135, 3, -0.987608, -0.870292, 10.313
0.134, 4, -0.103549, 0.0873884, 0.0353145
0.144, 5, 17.8711,-24.3164, 8.27637
0.155, 3, -0.90441, -0.796072, 10.2191
0.153, 4, -0.124498, 0.0335188, 0.134674
0.163, 3, -0.741005, -0.691924, 9.8683
0.164, 4, -0.102951, 0.0203507, 0.104746
0.168, 5, 17.8711,-23.9136, 7.80029
0.172, 3, -0.932542, -0.345962, 9.83059
0.174, 4, -0.0975637, 0.0395043, 0.0287304
0.183, 3, -1.05046, -0.137068, 9.81683
0.182, 4, -0.101155, 0.0814029, -0.0424971
0.168, 5, 17.8711,-23.9136, 7.80029
0.193, 3, -1.04208, -0.182558, 9.91798
0.192, 4, -0.118513, 0.122104, -0.0616507
0.21, 3, -1.55384, 0.142455, 10.149
0.201, 4, -0.140061, 0.16101, -0.047884
0.194, 5, 18.7134,-23.6572, 7.39746
0.22, 3, -0.957082, -0.035913, 10.0383
0.221, 4, -0.0724246, 0.190938, 0.111929
0.23, 3, -0.948104, 0.0011971, 10.073
0.229, 4, -0.0287304, 0.182558, 0.122703
0.218, 5, 18.75,-24.0234, 7.58057
0.238, 3, -0.94571, 0.017358, 9.94671
0.24, 4, 0.0161609, 0.149638, 0.0873884
0.243, 5, 18.7866,-24.1333, 7.80029
0.248, 3, -0.852934, -0.265756, 9.86052
0.249, 4, 0.035913, 0.128688, 0.0766145
0.259, 3, -0.93314, -0.630274, 9.8252
0.257, 4, 0.035913, 0.135272, 0.0682347
0.27, 5, 18.8599,-24.1699, 7.36084
